"subjectname","activityname","variable","averagevalues"
1,"LAYING","timebodyaccelerometermeanx",0.22159824394
1,"SITTING","timebodyaccelerometermeanx",0.261237565425532
1,"STANDING","timebodyaccelerometermeanx",0.278917629056604
1,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.289188320408163
1,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.255461689622641
2,"LAYING","timebodyaccelerometermeanx",0.281373403958333
2,"SITTING","timebodyaccelerometermeanx",0.27708735173913
2,"STANDING","timebodyaccelerometermeanx",0.277911472222222
2,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.27761534806383
2,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.247164790395833
3,"LAYING","timebodyaccelerometermeanx",0.275516852741935
3,"SITTING","timebodyaccelerometermeanx",0.257197599134615
3,"STANDING","timebodyaccelerometermeanx",0.280046513278689
3,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.292423484693878
3,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.260819873067797
4,"LAYING","timebodyaccelerometermeanx",0.263559214981481
4,"SITTING","timebodyaccelerometermeanx",0.27153827992
4,"STANDING","timebodyaccelerometermeanx",0.280499745892857
4,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.279965329555556
4,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.270876696730769
5,"LAYING","timebodyaccelerometermeanx",0.278334325576923
5,"SITTING","timebodyaccelerometermeanx",0.273694139545455
5,"STANDING","timebodyaccelerometermeanx",0.282544390892857
5,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.29354392712766
5,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.268459469914894
6,"LAYING","timebodyaccelerometermeanx",0.248656520140351
6,"SITTING","timebodyaccelerometermeanx",0.276778487454545
6,"STANDING","timebodyaccelerometermeanx",0.280346248596491
6,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.277045258145833
6,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.268229355098039
7,"LAYING","timebodyaccelerometermeanx",0.250176694038462
7,"SITTING","timebodyaccelerometermeanx",0.284674637291667
7,"STANDING","timebodyaccelerometermeanx",0.282723539433962
7,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.28030708
7,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.248706923078431
8,"LAYING","timebodyaccelerometermeanx",0.261254282907407
8,"SITTING","timebodyaccelerometermeanx",0.267491472934783
8,"STANDING","timebodyaccelerometermeanx",0.279620986111111
8,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.283484089210526
8,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.258880152048781
9,"LAYING","timebodyaccelerometermeanx",0.2591955368
9,"SITTING","timebodyaccelerometermeanx",0.24832674354
9,"STANDING","timebodyaccelerometermeanx",0.282310057333333
9,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.295923445
9,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.262436475714286
10,"LAYING","timebodyaccelerometermeanx",0.280230574137931
10,"SITTING","timebodyaccelerometermeanx",0.270612056481481
10,"STANDING","timebodyaccelerometermeanx",0.276650300681818
10,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.290401594315789
10,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.267121853404255
11,"LAYING","timebodyaccelerometermeanx",0.280592970877193
11,"SITTING","timebodyaccelerometermeanx",0.276590197358491
11,"STANDING","timebodyaccelerometermeanx",0.277715562765957
11,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.291605631956522
11,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.263775859277778
12,"LAYING","timebodyaccelerometermeanx",0.260113433
12,"SITTING","timebodyaccelerometermeanx",0.275007224901961
12,"STANDING","timebodyaccelerometermeanx",0.277405834918033
12,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.281521097391304
12,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.272970338653846
13,"LAYING","timebodyaccelerometermeanx",0.276716360483871
13,"SITTING","timebodyaccelerometermeanx",0.274328499591837
13,"STANDING","timebodyaccelerometermeanx",0.277758431052632
13,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.294907553404255
13,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.258203939581818
14,"LAYING","timebodyaccelerometermeanx",0.233275439803922
14,"SITTING","timebodyaccelerometermeanx",0.279990577037037
14,"STANDING","timebodyaccelerometermeanx",0.280545613833333
14,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.293422115555556
14,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.26242106612963
15,"LAYING","timebodyaccelerometermeanx",0.2894756525
15,"SITTING","timebodyaccelerometermeanx",0.27290337979661
15,"STANDING","timebodyaccelerometermeanx",0.278915803962264
15,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.280198851190476
15,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.270187595833333
16,"LAYING","timebodyaccelerometermeanx",0.274227162571429
16,"SITTING","timebodyaccelerometermeanx",0.280768574492754
16,"STANDING","timebodyaccelerometermeanx",0.283497402948718
16,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.295586802191489
16,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.255986102627451
17,"LAYING","timebodyaccelerometermeanx",0.269780085577465
17,"SITTING","timebodyaccelerometermeanx",0.2773570196875
17,"STANDING","timebodyaccelerometermeanx",0.277942503333333
17,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.29391828326087
17,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.252604768583333
18,"LAYING","timebodyaccelerometermeanx",0.274691576923077
18,"SITTING","timebodyaccelerometermeanx",0.27727001877193
18,"STANDING","timebodyaccelerometermeanx",0.278458805890411
18,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.288439468909091
18,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.265401201896552
19,"LAYING","timebodyaccelerometermeanx",0.272653733493976
19,"SITTING","timebodyaccelerometermeanx",0.273830316164384
19,"STANDING","timebodyaccelerometermeanx",0.27817226
19,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.262688053871795
19,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.242118808925
20,"LAYING","timebodyaccelerometermeanx",0.239507882205882
20,"SITTING","timebodyaccelerometermeanx",0.278045439090909
20,"STANDING","timebodyaccelerometermeanx",0.278076904657534
20,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.296144421355556
20,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.252098317156863
21,"LAYING","timebodyaccelerometermeanx",0.271325472455556
21,"SITTING","timebodyaccelerometermeanx",0.277539616823529
21,"STANDING","timebodyaccelerometermeanx",0.27695224258427
21,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.3014610196
21,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.265194544680851
22,"LAYING","timebodyaccelerometermeanx",0.279959721194444
22,"SITTING","timebodyaccelerometermeanx",0.273583822709677
22,"STANDING","timebodyaccelerometermeanx",0.279053861587302
22,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.284458963861111
22,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.248391534566667
23,"LAYING","timebodyaccelerometermeanx",0.274038007986111
23,"SITTING","timebodyaccelerometermeanx",0.273351251617647
23,"STANDING","timebodyaccelerometermeanx",0.277899323235294
23,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.289897411148148
23,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.249995171031373
24,"LAYING","timebodyaccelerometermeanx",0.272850494930556
24,"SITTING","timebodyaccelerometermeanx",0.273475690147059
24,"STANDING","timebodyaccelerometermeanx",0.280348883913043
24,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.288631208909091
24,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.269881106779661
25,"LAYING","timebodyaccelerometermeanx",0.250791828613699
25,"SITTING","timebodyaccelerometermeanx",0.278541482461538
25,"STANDING","timebodyaccelerometermeanx",0.278013701621622
25,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.291329666206897
25,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.277995411384615
26,"LAYING","timebodyaccelerometermeanx",0.271645864540789
26,"SITTING","timebodyaccelerometermeanx",0.258243530166667
26,"STANDING","timebodyaccelerometermeanx",0.281127035405405
26,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.2792845828
26,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.272691394545455
27,"LAYING","timebodyaccelerometermeanx",0.274102492432432
27,"SITTING","timebodyaccelerometermeanx",0.273941302571429
27,"STANDING","timebodyaccelerometermeanx",0.279566921625
27,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.2975441875
27,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.265770253921569
28,"LAYING","timebodyaccelerometermeanx",0.2759134825
28,"SITTING","timebodyaccelerometermeanx",0.276977629444444
28,"STANDING","timebodyaccelerometermeanx",0.277795069113924
28,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.293642076521739
28,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.262005841764706
29,"LAYING","timebodyaccelerometermeanx",0.287295196811594
29,"SITTING","timebodyaccelerometermeanx",0.2771799775
29,"STANDING","timebodyaccelerometermeanx",0.277965065846154
29,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.293140441083333
29,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.265423066877551
30,"LAYING","timebodyaccelerometermeanx",0.281033900571429
30,"SITTING","timebodyaccelerometermeanx",0.268336081379032
30,"STANDING","timebodyaccelerometermeanx",0.277112699152542
30,"WALKING_DOWNSTAIRS","timebodyaccelerometermeanx",0.283190646967742
30,"WALKING_UPSTAIRS","timebodyaccelerometermeanx",0.271415642261538
1,"LAYING","timebodyaccelerometermeany",-0.0405139534294
1,"SITTING","timebodyaccelerometermeany",-0.00130828765170213
1,"STANDING","timebodyaccelerometermeany",-0.0161375901037736
1,"WALKING_DOWNSTAIRS","timebodyaccelerometermeany",-0.00991850461020408
1,"WALKING_UPSTAIRS","timebodyaccelerometermeany",-0.0239531492643396
2,"LAYING","timebodyaccelerometermeany",-0.0181587397583333
2,"SITTING","timebodyaccelerometermeany",-0.0156879937282609
2,"STANDING","timebodyaccelerometermeany",-0.0184208270166667
2,"WALKING_DOWNSTAIRS","timebodyaccelerometermeany",-0.0226614158361702
2,"WALKING_UPSTAIRS","timebodyaccelerometermeany",-0.0214121132045833
3,"LAYING","timebodyaccelerometermeany",-0.0189556785048387
3,"SITTING","timebodyaccelerometermeany",-0.00350299841730769
3,"STANDING","timebodyaccelerometermeany",-0.0143376555065574
3,"WALKING_DOWNSTAIRS","timebodyaccelerometermeany",-0.0193554079328571
3,"WALKING_UPSTAIRS","timebodyaccelerometermeany",-0.0324109410555932
